symbol,target_side,raw_target_signed_weight,raw_target_notional,reference_price,current_signed_qty,current_signed_notional,raw_target_abs_qty,target_lattice_abs_qty,target_lattice_signed_qty,short_position_residual_qty,expected_final_signed_qty,executable_expected_signed_weight,projection_weight_gap,projection_notional_gap,estimated_entry_qty,estimated_entry_buying_power,buying_power_price,integer_target_required,constraint_reasons
AAOI,flat,0.0,0.0,111.9,0.0109,1.219928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,['raw_target_zero_release']
AAPL,short,-0.0098146218027026,-873.3019073255003,324.495,-2.0011,-649.597082,2.6912646029230043,3.0,-3.0,0.001100000000000101,-3.0011,-0.010944543119282966,-0.0011299213165803668,-100.54003717449973,1.0,334.22985,334.22985,True,['short_target_integer']
ABBV,short,-0.0228565100001094,-2033.764945726534,255.37,-7.9927,-2041.095799,7.963993208781509,8.0,-8.0,-0.007299999999999862,-7.9927,-0.02293889794838552,-8.238794827612205e-05,-7.330853273465891,0.0,0.0,263.03110000000004,True,"['short_target_integer', 'carried_by_min_trade_notional']"
ABT,short,-0.0333333333333333,-2965.98933333333,101.21,-27.9577,-2827.921355,29.305299212857722,29.0,-29.0,-0.04230000000000089,-28.9577,-0.032937956362621215,0.00039537697071207904,35.18051633333016,1.0,104.24629999999999,104.24629999999999,True,['short_target_integer']
ALSN,long,0.031197869093149,2775.976408590288,113.885,24.3184,2769.500984,24.375259328184466,24.3184,24.3184,0.0,24.3184,0.03112509489807111,-7.277419507788953e-05,-6.475424590288185,0.0,0.0,114.02166200000002,False,['carried_by_min_trade_notional']
AMAT,short,-2.991315338268393e-06,-0.2661662815782133,562.01,-0.0005,-0.28108,0.0004735970562413717,0.0,-0.0,0.0005,-0.0005,-3.158923475562061e-06,-1.6760813729366844e-07,-0.014913718421786681,0.0,0.0,578.8703,True,"['short_target_integer', 'carried_by_min_trade_notional']"
AMD,short,-0.0333333333333333,-2965.98933333333,528.405,-5.991,-3167.92098,5.613098538684021,6.0,-6.0,-0.009000000000000341,-5.991,-0.03560274637984762,-0.002269413046514329,-201.93164666667008,0.0,0.0,544.25715,True,"['short_target_integer', 'carried_by_min_trade_notional']"
AMPX,long,0.0311729419703484,2773.75840118017,10.45,269.7328,2820.056424,265.4314259502555,265.4314,265.4314,0.0,265.4314,0.03117293892268437,-3.0476640321689045e-09,-0.00027118017032989883,0.0,0.0,10.46254,False,[]
APLD,flat,0.0,0.0,30.11,26.1795,788.788335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,['raw_target_zero_release']
AVGO,short,-0.0333333333333333,-2965.98933333333,382.68,-6.9975,-2677.033575,7.750573150761288,8.0,-8.0,-0.002500000000000391,-7.9975,-0.03439530575969705,-0.0010619724263637505,-94.49396666667008,1.0,394.16040000000004,394.16040000000004,True,['short_target_integer']
